configuration,dim,device,solver,mms,order,n,dofs,l2_error,warmup_iterations,steady_iterations,cold_start_seconds,assembly_seconds,setup_seconds,initial_solve_seconds,median_repeated_solve_seconds,initial_minus_median_repeated_seconds,profiled_setup_initial_solve_seconds
P6 CEED AMG + Q1 BoomerAMG,3,cuda,ceed-amg,bubble-exp,6,2,2197,2.292266538620852e-09,11,10,0.11429981,1.963019529,2.320241697,0.1261021500000004,0.00968803900000026,0.11641411100000015,4.523663186000001
P6 CEED AMG + Q1 BoomerAMG,3,cuda,ceed-amg,bubble-exp,6,4,15625,1.844987118655663e-11,11,11,0.124029384,1.952178573,2.258532201,0.1595153140000001,0.01210008099999982,0.14741523300000028,4.494255472000001
P6 CEED AMG + Q1 BoomerAMG,3,cuda,ceed-amg,bubble-exp,6,8,117649,1.452605177480441e-13,12,12,0.097483242,1.816108313,2.338706174,0.1651400819999997,0.03169669299999978,0.1334433889999999,4.417437811
P6 CEED AMG + Q1 BoomerAMG,3,cuda,ceed-amg,bubble-exp,6,16,912673,2.773047319128054e-15,15,15,0.086990229,1.873240733,2.916458442000001,0.36104834,0.2089190040000002,0.1521293359999998,5.237737744000001
P6 CEED AMG + Q1 BoomerAMG,3,cuda,ceed-amg,bubble-exp,6,32,7189057,4.820394136917006e-15,17,17,0.12690767,1.902510525,7.431381283,1.917808234999999,1.770666061,0.14714217399999896,11.378607713
P1 Hypre BoomerAMG,3,cuda,hypre-amg,bubble-exp,1,16,4913,0.0002324368471052815,16,16,0.106033476,0.105687873,3.655699999999262e-05,0.03098562999999999,0.007710580000000022,0.023275049999999967,0.24274353599999998
P1 Hypre BoomerAMG,3,cuda,hypre-amg,bubble-exp,1,32,35937,5.81019435256062e-05,18,18,0.085848476,0.372278586,4.7094999999997e-05,0.062025255,0.01433551399999988,0.04768974100000012,0.520199412
P1 Hypre BoomerAMG,3,cuda,hypre-amg,bubble-exp,1,64,274625,1.452497867206449e-05,20,20,0.124140427,2.655815627,7.091199999997855e-05,0.2056867900000006,0.03921104600000014,0.16647574400000045,2.9857137560000004
P1 Hypre BoomerAMG,3,cuda,hypre-amg,bubble-exp,1,128,2146689,3.631212143437197e-06,23,23,0.100943517,21.093709276,8.211699999804978e-05,1.214268305000001,0.2490630100000004,0.9652052950000005,22.409003215
P1 Hypre BoomerAMG,3,cuda,hypre-amg,bubble-exp,1,256,16974593,9.078009920549692e-07,26,26,0.124799395,171.131025381,8.612700000298901e-05,9.965761568000005,2.143015847000015,7.82274572099999,181.221672471
