case,hierarchy,device,solver,order,n,dofs,l2_error,warmup_iterations,steady_iterations,cold_start_seconds,assembly_seconds,setup_seconds,warmup_solve_seconds,steady_solve_seconds,solve_total_seconds,assembly_setup_solve_total_seconds
p1 PA Jacobi,n/a,cpu,pa-jacobi,1,64,274625,1.452497867185798e-05,179,179,0.000498841,1.004421404,1.420698197,28.413188848,28.134173799,56.547362647,30.838807290000002
p1 PA Jacobi,n/a,cuda,pa-jacobi,1,64,274625,1.452497867184918e-05,179,179,0.130133054,1.187399976,0.2659574569999998,0.7830032069999997,0.7708289209999997,1.5538321279999994,2.366493694
p6 PA Jacobi,n/a,cpu,pa-jacobi,6,8,117649,1.452455170353958e-13,304,304,0.00050074,0.03248261200000002,1.11777269,2.6720416,2.667160870000001,5.339202470000001,3.8227976420000003
p6 PA Jacobi,n/a,cuda,pa-jacobi,6,8,117649,1.452455289240715e-13,304,304,0.115191471,1.445473857,0.1570780120000002,0.060546451,0.05925673100000006,0.11980318200000006,1.7782897910000002
p6 CEED AMG,Q6 -> Q3 -> Q1 -> Q3 -> Q6,cpu,ceed-amg,6,8,117649,1.45244164078446e-13,11,11,0.000539342,0.03266158799999996,1.630595035,1.096907077,1.083808285999999,2.180715362999999,2.7607030420000003
p6 CEED AMG,Q6 -> Q3 -> Q1 -> Q3 -> Q6,cuda,ceed-amg,6,8,117649,1.452419083668835e-13,12,12,0.131446077,1.422756983,2.484009282,0.1341648590000002,0.029251307,0.1634161660000002,4.172377201
"p6 CEED AMG
+ Q1 BoomerAMG",Q6 -> Q3 -> Q1 (BoomerAMG) -> Q3 -> Q6,cpu,ceed-amg,6,8,117649,1.45244164078446e-13,11,11,0.000485225,0.03277318600000001,1.673542024,1.111599076,1.093083568,2.204682644,2.818399511
"p6 CEED AMG
+ Q1 BoomerAMG",Q6 -> Q3 -> Q1 (BoomerAMG) -> Q3 -> Q6,cuda,ceed-amg,6,8,117649,1.452605759434141e-13,12,12,0.104593742,1.429865369,2.163240137,0.1644127149999997,0.03169084000000044,0.19610355500000015,3.862111963
p6 Hypre BoomerAMG,n/a,cpu,hypre-amg,6,8,117649,1.455102250340479e-13,25,25,0.000237362,37.215125657,4.30260000001681e-05,13.761268795,12.49802244200001,26.25929123700001,50.97667484
p6 Hypre BoomerAMG,n/a,cuda,hypre-amg,6,8,117649,1.452762084209532e-13,31,31,0.127481983,38.47157822600001,5.312300000070991e-05,1.229040331,0.2250805870000008,1.4541209180000008,39.828153663000016
