case,hierarchy,device,solver,order,n,dofs,l2_error,warmup_iterations,steady_iterations,cold_start_seconds,assembly_seconds,setup_seconds,warmup_solve_seconds,steady_solve_seconds,solve_total_seconds,assembly_setup_solve_total_seconds
p1 PA Jacobi,n/a,cpu,pa-jacobi,1,512,263169,6.419969994197559e-07,1374,1374,0.000453968,0.1830257869999999,0.09132983400000005,50.596973767,50.491936772,101.08891053900001,50.871783356
p1 PA Jacobi,n/a,cuda,pa-jacobi,1,512,263169,6.419969977768646e-07,1374,1374,0.095131939,0.4778927869999999,0.1245949329999998,0.2755826400000001,0.261604111,0.5371867510000001,0.9732022989999998
p6 PA Jacobi,n/a,cpu,pa-jacobi,6,64,148225,5.733207672510289e-16,1907,1907,0.000478039,0.016746199,0.06391522799999999,12.391465725,12.379264143,24.770729868,12.472605191
p6 PA Jacobi,n/a,cuda,pa-jacobi,6,64,148225,4.777247114620406e-16,1907,1907,0.091171225,0.431898703,0.137208,0.280761705,0.266974278,0.5477359829999999,0.9410396329999999
p6 CEED AMG,Q6 -> Q3 -> Q1 -> Q3 -> Q6,cpu,ceed-amg,6,64,148225,1.107631518674781e-14,18,18,0.000443929,0.01693655600000001,0.227308264,1.135331862,1.120296062,2.2556279239999997,1.380020611
p6 CEED AMG,Q6 -> Q3 -> Q1 -> Q3 -> Q6,cuda,ceed-amg,6,64,148225,3.705274792276784e-15,101,72,0.096706883,0.428606242,1.246759719,0.2468397770000001,0.1080471690000002,0.3548869460000003,2.018912621
"p6 CEED AMG
+ Q1 BoomerAMG",Q6 -> Q3 -> Q1 (BoomerAMG) -> Q3 -> Q6,cpu,ceed-amg,6,64,148225,1.107631518674781e-14,18,18,0.000463261,0.01683172499999999,0.225270825,1.123694119,1.109531189,2.2332253079999997,1.36625993
"p6 CEED AMG
+ Q1 BoomerAMG",Q6 -> Q3 -> Q1 (BoomerAMG) -> Q3 -> Q6,cuda,ceed-amg,6,64,148225,1.257304523854606e-14,17,17,0.113391635,0.4281302699999999,1.304092133,0.1719747280000001,0.03739477899999999,0.2093695070000001,2.017588766
p6 Hypre BoomerAMG,n/a,cpu,hypre-amg,6,64,148225,5.479019979768752e-13,25,25,0.000293017,1.02145003,4.068099999998687e-05,2.069170623,1.839995196,3.909165819,3.090954351
p6 Hypre BoomerAMG,n/a,cuda,hypre-amg,6,64,148225,5.430834978861272e-13,23,23,0.097718535,1.116760965,7.207599999992098e-05,0.2335467449999999,0.05425447699999997,0.28780122199999986,1.448098321
